release_month_code,release_month_name,release_quarter,movie_count,total_worldwide_gross_usd,average_worldwide_gross_usd,average_domestic_gross_usd,average_opening_gross_usd,average_widest_release_theaters
Jan,January,Q1,56,8906201223,159039308,41059038,14048684,2433
Feb,February,Q1,67,16929073349,252672737,64349478,22256909,2485
Mar,March,Q1,64,16726787822,261356060,97318245,35107562,3155
Apr,April,Q2,56,16778836130,299622074,101411588,36631632,3005
May,May,Q2,56,18578113296,331752023,130059869,44419297,3375
Jun,June,Q2,67,22639599087,337904464,128483996,40941438,3391
Jul,July,Q3,73,26806596229,367213647,137363980,42625768,3221
Aug,August,Q3,69,11333273252,164250337,54766416,17239527,2750
Sep,September,Q3,59,11447593694,194027012,69425840,24857136,2989
Oct,October,Q4,74,13450737665,181766725,57648955,21210860,2840
Nov,November,Q4,88,24846717391,282349061,102347289,29948581,2999
Dec,December,Q4,90,27105398108,301171090,111168300,23427423,2690